userid,label,gender,age,province
100000000013,0,male,60,0
100000000111,0,nan,nan,1
100000000127,0,nan,nan,1
100000000231,0,male,70,2
100000000379,0,male,nan,2
100000000393,0,female,nan,2
100000000423,0,nan,nan,3
100000000459,0,nan,nan,2
100000000465,0,nan,nan,2
100000000471,0,female,nan,4
100000000637,1,nan,nan,5
100000000695,1,nan,nan,2
100000000745,0,nan,nan,6
100000000755,0,male,nan,4
100000000867,1,female,nan,1
100000000949,0,female,nan,4
100000000975,1,nan,nan,1
100000001023,1,male,60,2
100000001195,0,female,nan,2
100000001231,0,nan,80,4
100000001295,0,male,nan,2
100000001343,0,nan,nan,1
100000001505,1,female,nan,4
100000001557,0,nan,nan,1
100000001683,0,nan,nan,1
100000001711,0,female,nan,2
100000001803,0,nan,nan,7
100000001955,0,nan,nan,1
100000001963,0,nan,nan,1
100000002111,0,nan,nan,1
100000002165,0,nan,nan,7
100000002179,0,nan,nan,2
100000002199,1,male,nan,1
100000002215,1,nan,nan,8
100000002243,0,nan,nan,9
100000002245,0,nan,nan,1
100000002271,0,nan,nan,1
100000002307,0,nan,nan,5
100000002363,0,nan,nan,2
100000002371,0,nan,nan,2
100000002535,0,female,60,2
100000002581,0,female,nan,10
100000002653,0,nan,nan,11
100000002811,0,nan,nan,8
100000002873,0,nan,nan,2
100000002879,0,male,nan,4
100000003091,1,male,nan,2
100000003097,0,male,nan,2
100000003311,0,nan,80,1
100000003461,1,nan,nan,4
100000003483,0,female,nan,2
100000003559,0,female,nan,2
100000003611,1,nan,nan,12
100000003639,0,nan,nan,4
100000003685,0,female,60,2
100000003805,0,nan,nan,2
100000003875,0,female,nan,2
100000003891,0,nan,nan,1
100000003941,0,male,nan,7
100000004163,0,female,nan,7
100000004223,0,nan,nan,11
100000004277,0,female,80,12
100000004297,1,nan,nan,13
100000004303,0,male,nan,0
100000004317,0,nan,nan,2
100000004319,0,nan,nan,1
100000004359,0,nan,nan,1
100000004429,0,nan,nan,14
100000004453,0,nan,nan,12
100000004529,0,nan,nan,15
100000004867,0,nan,nan,6
100000005007,1,nan,60,4
100000005091,0,nan,nan,12
100000005125,0,nan,nan,12
100000005513,0,nan,nan,1
100000005649,1,nan,nan,1
100000005719,0,nan,nan,2
100000005739,1,nan,nan,4
100000005755,0,nan,nan,12
100000005805,0,male,60,0
100000005955,0,nan,nan,12
100000006005,0,female,nan,1
100000006013,0,male,nan,12
100000006081,0,female,nan,8
100000006123,0,nan,nan,12
100000006395,0,male,nan,1
100000006487,0,nan,nan,8
100000006539,1,nan,nan,4
100000006569,0,nan,nan,1
100000006605,1,female,nan,8
100000006647,0,nan,nan,1
100000006857,0,male,nan,1
100000006933,0,nan,nan,14
100000006981,0,nan,nan,7
100000007073,0,nan,nan,2
100000007079,0,nan,nan,2
100000007283,0,female,nan,1
100000007329,0,nan,nan,1
100000007367,0,nan,nan,0
100000007409,0,nan,80,4
100000007457,0,nan,nan,12
100000007533,0,nan,nan,1
100000007609,0,female,nan,2
100000007639,0,nan,nan,7
100000007745,1,female,80,1
100000007753,0,female,nan,1
100000007785,0,male,nan,2
100000008119,1,female,nan,1
100000008253,0,nan,nan,1
100000008425,1,female,nan,1
100000008481,0,female,nan,1
100000008483,0,nan,nan,2
100000008529,0,nan,nan,8
100000008565,0,nan,nan,1
100000008995,0,nan,nan,4
100000009017,1,nan,nan,1
100000009249,1,female,nan,1
100000009417,0,nan,nan,3
100000009463,0,male,80,1
100000009481,1,male,60,16
100000009491,1,female,nan,4
100000009583,0,female,nan,9
100000009611,0,nan,nan,1
100000009743,0,nan,70,1
100000009771,0,nan,nan,8
100000009773,1,nan,nan,1
100000009807,0,male,nan,15
100000009925,1,female,nan,1
100000010101,1,female,90,2
100000010161,0,nan,nan,2
100000010177,0,male,nan,2
100000010199,1,nan,nan,2
100000010239,0,male,nan,3
100000010247,0,nan,nan,2
100000010249,0,nan,nan,1
100000010279,0,male,80,12
100000010287,0,female,nan,2
100000010293,0,female,80,2
100000010297,0,nan,nan,7
100000011105,0,nan,nan,1
100000011131,0,female,00,2
100000011325,0,female,70,1
100000011427,0,nan,nan,1
100000011573,0,nan,nan,2
100000011591,0,nan,nan,2
100000011653,0,nan,nan,5
100000011741,0,male,80,12
100000011755,0,female,nan,1
100000011763,0,nan,nan,17
100000011845,1,nan,nan,1
100000011933,0,nan,nan,1
100000012027,0,female,nan,1
100000012133,0,nan,nan,16
100000012137,0,nan,nan,2
100000012213,0,nan,nan,1
100000012219,0,male,nan,1
100000012235,0,female,nan,7
100000012277,0,nan,nan,1
100000012341,0,nan,nan,4
100000012367,0,female,nan,7
100000012405,0,male,nan,8
100000012441,0,nan,nan,12
100000012507,0,male,nan,8
100000012713,0,nan,nan,15
100000012715,0,nan,nan,1
100000012717,0,nan,nan,1
100000012719,0,female,60,1
100000012793,0,nan,nan,1
100000012867,1,male,80,18
100000012885,0,female,nan,12
100000012889,0,nan,nan,4
100000012931,0,nan,nan,12
100000012965,0,female,nan,7
100000012981,0,nan,nan,2
100000013027,0,nan,nan,2
100000013381,0,nan,nan,14
100000013429,0,female,nan,4
100000013461,0,nan,nan,2
100000013471,1,male,nan,8
100000013499,1,nan,nan,4
100000013669,0,male,nan,1
100000013673,0,nan,nan,2
100000013837,0,nan,nan,2
100000013965,0,male,nan,13
100000014029,1,female,80,1
100000014143,0,female,nan,12
100000014259,0,male,nan,6
100000014271,1,nan,nan,4
100000014311,0,nan,nan,3
100000014315,0,female,nan,4
100000014383,0,nan,nan,2
100000014421,0,nan,nan,2
100000014423,0,nan,nan,17
100000014449,0,female,nan,1
100000014641,0,nan,nan,12
100000014679,0,female,60,4
100000014745,0,female,nan,13
100000014865,0,nan,nan,12
100000014899,0,nan,nan,1
100000014949,1,nan,nan,1
100000014973,0,nan,nan,2
100000014981,0,nan,nan,2
100000015043,0,female,nan,7
100000015129,1,male,nan,10
100000015145,0,nan,nan,2
100000015153,0,nan,nan,1
100000015213,0,nan,60,1
100000015223,0,female,nan,12
100000015275,0,nan,nan,1
100000015433,0,nan,nan,17
100000015475,0,nan,nan,2
100000015747,0,nan,nan,2
100000015791,0,nan,nan,7
100000015969,1,nan,nan,1
100000016009,0,nan,nan,1
100000016197,1,nan,nan,1
100000016219,0,nan,nan,7
100000016265,1,female,nan,2
100000016341,0,male,nan,15
100000016351,0,nan,nan,4
100000016391,0,nan,nan,12
100000016831,0,nan,nan,2
100000016845,0,nan,nan,19
100000016861,0,nan,nan,2
100000016987,0,nan,nan,2
100000017177,0,nan,nan,8
100000017277,1,nan,nan,2
100000017281,0,nan,nan,7
100000017345,0,nan,nan,2
100000017367,0,nan,nan,7
100000017465,1,nan,nan,4
100000017469,0,nan,nan,1
100000017505,0,male,70,7
100000017691,0,nan,nan,4
100000017693,0,nan,nan,1
100000017965,0,nan,nan,20
100000018097,0,female,nan,13
100000018117,0,nan,nan,1
100000018123,0,male,nan,2
100000018259,0,nan,nan,14
100000018413,0,female,80,2
100000018417,0,nan,nan,4
100000018629,1,nan,nan,19
100000018905,1,female,60,15
100000018941,0,male,nan,4
100000018979,0,nan,nan,13
100000019251,0,nan,nan,1
100000019375,0,nan,nan,12
100000019379,0,nan,nan,13
100000019487,1,male,60,2
100000019489,0,nan,nan,8
100000019507,0,female,70,7
100000019641,0,male,nan,1
100000019697,0,female,nan,1
100000019829,0,nan,nan,13
100000019999,0,nan,nan,1
100000020007,0,nan,nan,4
100000020017,0,nan,nan,3
100000020019,0,nan,nan,1
100000020061,0,nan,nan,13
100000020213,0,male,nan,4
100000020277,0,male,nan,4
100000020301,0,female,nan,14
100000020393,0,nan,nan,19
100000020459,1,nan,nan,4
100000020665,0,nan,nan,2
100000020745,1,female,nan,15
100000020809,0,male,70,3
100000020811,0,nan,nan,3
100000020907,0,nan,nan,1
100000020921,0,nan,nan,1
100000020931,0,nan,nan,12
100000020995,1,female,60,2
100000021111,0,nan,nan,1
100000021175,0,nan,nan,21
100000021395,0,nan,nan,1
100000021427,0,nan,nan,1
100000021453,0,male,nan,6
100000021457,1,nan,nan,8
100000021553,1,nan,nan,1
100000021649,0,nan,nan,7
100000021659,0,nan,70,22
100000021759,0,nan,nan,1
100000021783,0,nan,nan,12
100000021809,1,nan,nan,7
100000021873,0,male,nan,1
100000022129,1,nan,nan,2
100000022335,1,nan,nan,2
100000022357,0,nan,nan,1
100000022389,1,female,nan,5
100000022417,0,female,nan,1
100000022481,0,female,nan,8
100000022499,1,female,nan,7
100000022571,0,female,nan,0
100000022651,0,male,nan,7
100000022677,0,nan,nan,1
100000022761,0,nan,nan,23
100000022773,0,nan,nan,8
100000022801,1,male,60,2
100000022841,0,nan,nan,1
100000022931,0,female,80,1
100000022963,1,male,nan,24
100000023051,0,nan,nan,2
100000023443,0,nan,nan,2
100000023563,0,nan,nan,2
100000023659,1,male,nan,2
100000023915,0,male,nan,1
110020371225,0,nan,nan,1
110020471524,1,male,70,4
110020473123,0,female,nan,8
110020671528,0,female,nan,1
110020673328,0,nan,nan,4
110020771524,0,nan,nan,2
110020773124,0,nan,nan,4
110100014168,0,male,60,1
110100014369,0,male,90,1
110100014466,0,male,nan,4
110100014563,1,nan,nan,1
110100016128,1,nan,nan,2
110100016324,1,nan,nan,2
110100016628,0,nan,nan,0
110100016726,1,female,nan,2
110100016828,0,nan,nan,2
110100016928,1,nan,nan,1
110100018268,0,female,nan,0
110100018468,0,nan,nan,2
110100018567,1,male,nan,2
110100018764,0,nan,nan,6
110100033067,1,male,nan,0
110100033863,0,nan,nan,1
110100035569,0,female,70,25
110100035669,0,nan,nan,1
110100071228,0,nan,nan,2
110100073229,0,female,nan,1
110100073827,0,nan,nan,4
110100116024,0,male,nan,2
110100116027,1,female,nan,4
110100116423,1,nan,nan,4
110100116425,1,nan,nan,12
110100116429,0,nan,nan,1
110100116920,0,male,80,2
110100118262,1,nan,nan,4
110100118265,0,female,80,0
110100118669,0,nan,nan,4
110100133065,0,male,nan,0
110100135162,1,nan,nan,1
110100135163,0,male,nan,2
110100135560,0,female,nan,2
110100135562,0,nan,nan,2
110100135764,0,female,nan,0
110100135767,0,nan,nan,0
110100171021,0,male,60,2
110100171526,0,nan,nan,2
110100173725,0,female,nan,1
110100214160,0,nan,nan,23
110100214261,0,nan,nan,19
110100214263,0,nan,nan,12
110100214268,0,nan,nan,19
110100214961,0,female,nan,4
110100216329,0,nan,nan,0
110100218568,0,nan,nan,2
110100218569,0,female,80,15
110100218662,0,nan,nan,2
110100218869,0,female,nan,2
110100218963,1,nan,nan,19
110100233064,1,female,nan,0
110100233069,0,nan,nan,4
110100235564,0,nan,nan,13
110100273222,0,nan,nan,5
110100273229,1,nan,nan,2
110100273426,0,nan,nan,16
110100273825,0,nan,nan,1
110100316225,0,nan,nan,16
110100316421,0,nan,nan,1
110100316423,0,male,70,1
110100316824,1,nan,nan,0
110100316920,0,nan,nan,1
110100318867,0,nan,nan,2
110100333066,0,male,nan,2
110100333868,0,nan,nan,4
110100335060,0,nan,nan,4
110100335161,0,nan,nan,0
110100335662,1,nan,nan,15
110100335665,0,male,nan,4
110100335769,1,nan,nan,8
110100371225,0,nan,nan,2
110100373124,1,female,nan,6
110100373323,1,male,nan,2
110100373324,1,nan,nan,2
110100373526,0,male,90,4
110100412420,0,female,nan,0
110100416123,0,nan,nan,1
110100416221,0,nan,nan,4
110100416425,0,nan,nan,2
110100418165,0,nan,nan,17
110100418369,0,nan,nan,19
110100433869,0,nan,nan,2
110100435160,1,male,nan,0
110100435463,0,nan,nan,7
110100435467,0,nan,nan,1
110100435869,0,nan,nan,1
110100471025,0,female,nan,0
110100471223,1,nan,nan,8
110100471225,0,nan,nan,22
110100473027,1,male,nan,2
110100473524,0,male,nan,0
110100473723,1,nan,nan,2
110100473728,1,female,nan,12
110100512322,0,nan,nan,15
110100512326,0,nan,nan,13
110100512625,1,male,nan,2
110100512728,0,nan,nan,17
110100514160,0,nan,nan,2
110100514164,0,nan,nan,12
110100514166,0,female,nan,0
110100514169,0,male,nan,7
110100516026,0,nan,nan,1
110100516222,0,nan,nan,15
110100516323,0,female,nan,1
110100516524,0,nan,80,1
110100516727,0,male,nan,12
110100516923,1,nan,80,2
110100516927,1,female,nan,2
110100518068,0,female,90,2
110100518264,0,female,nan,2
110100518265,0,nan,nan,1
110100518665,0,nan,nan,5
110100533768,0,nan,nan,4
110100535060,0,female,nan,1
110100535669,0,nan,nan,1
110100535765,0,nan,nan,14
110100535968,0,nan,nan,20
110100571024,0,nan,nan,4
110100571025,1,nan,nan,2
110100573022,1,nan,nan,2
110100573428,0,nan,nan,2
110100573527,0,nan,nan,1
110100612321,0,female,nan,0
